Onderwerp,Kenmerk
[Scan en herken] Geen tekst- of bedragveld selecteren in PDF bij e-factuur bewerking.,ERP
Foutmelding bij inlezen doorberekeningen door niet-verwijzing naar Veld 9 (credit).,ERP
[Onboarden] Weergave 'Te onboarden sollicitanten' en 'Onboarden workflows',HRM
[Onboarden] Onboarding sollicitant verschijnt niet in de weergave te onboarden sollicitanten.,HRM
[Workflow] Gebruikers(groep) op basis van bestemming wordt niet bijgewerkt bij wijzigen conditie,Algemeen
[Weergave I logging] Inzien wie en wanneer een contactpersoon is aangemaakt in de log.,Algemeen
[Dossieritem] Dossier op meerdere bestemmingen vastleggen | Medewerker + Verkooprelatie,Algemeen
"[powerBI] Verbinding maken met KVMC vanuit PowerBI lukt niet, foutmelding onbekend.",Algemeen
Unexpected agency foutmelding bij registreren onboarden,HRM
"[citrix] Zwart scherm bij opstarten van Profit voor specifieke gebruiker, geen foutmelding.",Algemeen
[parameter] [hoog][laag] Premie Aof aanpassen,HRM
[Rooster] Rooster wijzigen geeft de melding: Het rooster kan niet worden aangepast vanwege de volgende reden(en): Het rooster bevat meerdere roosterblokken op één dag.'.,HRM
[berichtsjabloon | talen | tags | subsjabloon | mollie-koppeling payment link] Aanpassen berichtsjabloon in AFAS levert andere tekst in e-mail dan in editor.,Algemeen
"[Vakantietoeslag] Vakantiegeld ontbreekt op loonstrook van medewerker, uurloner naar vaste medewerker",HRM
[Pocket]Zichtbaarheid van vrij type dossieritem in de Pocket App instellen.,Algemeen
Lid van gebruikersgroep SJG-FA+ kan geen facturen toevoegen aan activadossier.,ERP
[Autorisatie] Medewerker krijgt 'No data to be shown' bij contractverlenging in InSite.,HRM
Foutmelding bij handmatig boeken in P1 2026: teller nog niet ingesteld.,ERP
[FiInvoice / FiEntries] Foutmelding 500 bij het ophalen van een inkoopfactuur via AFAS Connect: Object reference not set to an instance of an object.,ERP
"Toevoegen van BTW-codering met percentage 0,00 in SpendCloud zonder mutatie.",ERP
[Solliciteren] Werking actie Sollicitant en Portaltoegang bijwerken,HRM
[btw-tariefgroep] Foutmelding bij aanmaken termijn met BTW verlegd: Subquery returned more than 1 value.,ERP
[Vrij veld] Vrije velden bij aanvullende gegevens zijn niet zichtbaar in Profit.,HRM
[Jaaroverschrijdend twk] Correctie 30% regeling voor medewerker in 2022 zonder gegevens vanuit oude salarispakket,HRM
[Koppeling] Medewerker kan niet als beoordelaar gekozen worden bij inkoopfacturen.,ERP
[Power BI] Foutmelding bij PowerBI-koppeling: 3 query's geblokkeerd door error 404.,Algemeen
[Citrix] Profit 5 tegel start op maar sluit direct zonder foutmelding.,Algemeen
"[Verlof][2344524] Foutmelding bij mutaties van uitdienstgetreden medewerkers over negatief saldo. Verlofboeking overschrijd verlofsaldo, negatief verlof niet toegestaan",HRM
Medewerker werkt door na AOW-gerechtigde leeftijd | meerdere dienstverbanden,HRM
Geboortedatum bij aanmaken familielid in tabblad 'Familie' blijft verplicht ondanks instellingen,HRM
[Import] Verwijderen van een dubbele salarisjournaalimport in de administratie-instellingen.,HRM
"UpdateConnector KnSalesRelationOrg ondersteunt geen velden onder ""Accountancy verantwoordelijkheden"".",Algemeen
"Taak voor klaarzetten laptop gaat naar iedereen van ICT, niet alleen naar de ICT afdeling van de betreffende school",Algemeen
[Weergave] Onverwachte fout bij openen salariscomponenten in salarisverwerkingsplan,HRM
Wijzigen van een periode tabel van kwartaal naar maand in Financieel.,ERP
"Onboarden van sollicitant geeft foutmelding: ""De bestemming komt niet overeen met de inrichting van het type dossieritem.""",HRM
[Journaalpost wijzigen | memo boeking] Verwijderen van memoriaalboeking mislukt: 'dossieritem bevindt zich nog in een workflow.',ERP
[Conditie] Controle mogelijkheid bij aanmaken betermelden/ziekmelden | WENS,HRM
"[Mollie] Betalingsverschil bij Mollie, hoe werkt dit",ERP
[Autorisatie] Bestaande gebruiker toevoegen aan groep PR-152 Medewerker lukt niet via autorisatietool.,Algemeen
[Bestaand contactpersoon] Samenvoegen van contactpersonen in AFAS klantportal voor toegang met Hutten mailadres.,Algemeen
[Re-integratieverslag] AFAS document Re-integratieverslag mist UWV invultabellen | Plan van aanpak,HRM
[Excel I Datum] Importeren van uren via CSV met ongewijzigde velden en datumformaat.,ERP
"Afzender van inkoopaanvraag is onjuist bij conditionele actie, verwacht gebruiker.",Algemeen
[Payroll Auditor] Vraag over de werking van de Payroll Auditor bij afwijkend percentage BT 100.009.413 Audit: percentage BT via beschikking lager dan berekend.,HRM
Toevoegen van parameter 'Berekenen' en vinden van salaristabel 135.230.717.,HRM
Abonnementsmutatie Extra (test)omgevingen,Algemeen
"[Zoekweergave I Insite I Andere regels] Selecteren van artikelgroepen in inkoopaanvraag niet mogelijk, alleen artikelgroep 521 zichtbaar.",Algemeen
"[Zoekweergave I Insite I Andere regels] Selecteren van artikelgroepen in inkoopaanvraag niet mogelijk, alleen artikelgroep 521 zichtbaar.",Algemeen
[Wens] Vacatures aangemaakt vanuit verschillende documentsjablonen tonen in één overzichtspagina,HRM
[Transitievergoeding] Transitievergoeding workflow start niet bij uitdiensttreding met rede: Opzegging/ontslag door de werkgever binnen de proeftijd door werkgever,HRM
[Rapport I Script] Nulregels op pakbon onderdrukken zodat ze niet zichtbaar zijn op de factuur.,ERP
"Salarisberekening toont splitsing in Salaris en Salaris (Uit uren verlof), waar komt dit vandaan?",HRM
"[inrichting mailserver] Mailadres voor gebruiker aanmaken in AFAS werkt niet, controleer mailserverinstellingen.",Algemeen
[Loonmutatie] Looncomponent voorschot verrekening kan niet geboekt worden: mutaties via boekingsprogramma niet toegestaan,HRM
Overzichtspagina aanmaken voor niet geblokkeerde organisatorische eenheden.,Algemeen
[Import] Foutmelding: De ingevoegde waarde voor veld X is van een verkeerd type of te lang,HRM
[Termijnfactuur] Koppelen factuur aan termijnschema zonder crediteren van factuur.,ERP
"[Werkgever][Stop] Verloning stopzetten voor werkgever in AFAS per 1-5, geen salarisberekening of loonaangifte.",HRM
"[Actuele gegevens][Weergave] Contractverlenging zichtbaar in Afas, maar einddatum medewerkerslijst blijft op de eerste regel staan",HRM
[klantportal[Passkey] Gebruik AFAS Pocket-app op werkstation met passkey en inloggen in de klantportal.,Algemeen
Knop 'Vastleggen' ontbreekt in Outlook en 'PROFIT DOCUMENT' ontbreekt in Word.,Algemeen
[Procuratie] Afwijkingen in workflow goedkeuring inkoopfactuur met meerdere beoordelaars. Workflow komt niet bij volgende beoordelaar.,ERP
"[Grijs veld I management tool] Geen mogelijkheid om taal te wijzigen bij verkooprelatie, optie is disabled.",Algemeen
[DKIM] Aanvraag voor DKIM-domain keys bij afas.nl vanwege DMARC-vereisten.,Algemeen
"[Power BI I 404] Foutmelding bij PowerBI: velden niet gevuld, onduidelijk welke velden ontbreken.",Algemeen
[tabbladen onderhouden | Management tool ] Verdwenen standaardtabbladen in de managementtool en insite bij verkooprelatie.,Algemeen
"Intercompany facturen blijven geblokkeerd, verzoek om automatisch deblokkeren voor betaling.",ERP
[Inkoopfacturen | wens] Een overzicht krijgen van inkoopfacturen en door wie deze beoordeeld moeten worden in de workflow in InSite of in Profit.,ERP
[afsluiten plaatsing | beoordelen extern niet zichtbaar | ter beoordeling extern status workflow] Workflow Declaratie Nacalculatie (Xstate) wordt niet toegewezen aan gebruikers zonder feedback.,Algemeen
Onboarden vanaf stamkaart HRM pagina niet zichtbaar in bannerconfiguratie.,HRM
[Verlof] Aantal uren in verlofaanvraag is niet aan te passen,HRM
[Digitaal ondertekenen] Datum ondertekening document komt niet overeen met SignServiceLog.,HRM
Foutmelding 48233: personeelsnummer zonder naam in betaalopdrachten toont onvoldoende informatie.,ERP
Verwijderen van de knop 'Verlengen' voor budgethouders in AFAS contractmiddelen.,ERP
Automatische verlenging salarisverwerkingsplannen faalt door volle periodetabel. Klopt deze beredenering?,HRM
"Mutaties blijven langer hangen in Profit, waardoor Insite trager werkt.",HRM
[insite I indeling] Factuur weergave in InSite aanpassen naar de rechterkant van het scherm.,ERP
[P6] Uitzetten van bevestiging bij productgroepaanvragen in Profit 6: De artikelen zijn toegevoegd aan je inkoopaanvraag,ERP
"Trage prestaties in Insite en Profit, vooral bij sitebeheer.",Algemeen
Onjuiste veldtoewijzing NEW_ITEM_MANUFACTCODE in OCI-koppeling naar Profit.,ERP
[WENS][taken bij uitdienst]Overdracht openstaande taken van medewerkers naar nieuwe leidinggevende mislukt.,HRM
Foutmelding bij openen pagina op InSite: STATUS_ACCESS_VIOLATION,ERP
[rooster][uren per week]Verschil in salarisberekening door roosterinstelling en ingangsdatum bij medewerkers.,HRM
"Foutmelding bij openen OCI-koppelingen Mediq, beschrijving onbekend.",Algemeen
[aanpassen][worklfow]Onboarding nieuwe medewerker kan niet worden voltooid door onvolledig adres; wijziging ontbreekt in Insite.,HRM
"Verlaagde pensioenspremie bij zorgverlof opname, terwijl dit verlof 100% doorbetaald is.",HRM
Leidinggevende in Onboarding-module wordt niet juist gekozen voor sollicitant.,HRM
[power BI I vrij] Mogelijkheid om BI-model te maken op basis van vrije dossieritems en vrij velden.,Algemeen
[control] Abonnement verhoging naar 250 medewerkers niet zichtbaar door verzuim huidige manager. Medewerkers kunnen niet insite vanwege te weinig licenties.,Algemeen
Activering van Prijzen incl. BTW en gevolgen voor prijzen en processen.,ERP
[landcode vk I uk] Geen landcode voor het Verenigd Koninkrijk bij invoeren verkooprelatie.,ERP
Mails over goedkeuring verlofverzoeken worden onterecht naar medewerkers gestuurd.,HRM
[Jonas] Vraag over de mogelijkheden van samenvatten d.m.v. Jonas in de workflow en de knop 'Vat deze pagina samen',Algemeen
[overzicht][insite]Waarden ophalen uit de onboarding flow voor overzicht in portal.,HRM
"Mollie-bankafschrift verwerken lukt niet; foutmelding: ‘Deze factuur is in een andere, nog openstaande sessie afgeletterd door gebruiker 91121.admin’.",ERP
"[iso] Aanleveren ""Verklaring toepasselijkheid ISO27001"" als apart document.",Algemeen
"[log] Informatie over de toevoeging van gebruikersgroep ""Alle administraties"" in autorisatietool.",Algemeen
[Foutieve Herinneringsmail] [OutSite] Incompleet DNS-configuratie voor aangevraagde OutSite; actie vereist binnen 60 dagen.,Algemeen
[EnvironmentId and/or SiteId is empty] Insite kan niet geopend worden. Zie melding.,Algemeen
[EnvironmentId and/or SiteId is empty] Insite kan niet geopend worden. Zie melding.,Algemeen
